album_id,wikipedia_album_name,spotify_album_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,7E0WMGe1LToCuAsWRn58pn,Gonna Be Another Hot Day,0.364,0.0888,0,-19.497,1,0.0466,0.939,0.000482,0.119,0.114,124.85,223480,4
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,6GmAdyCJpdzGJmeNZqCYVU,Lizzie's Comin' Home,0.583,0.446,7,-11.141,1,0.238,0.734,0,0.0905,0.695,138.154,207467,4
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,2rb2X9z01AcfQN3bv6KPAr,"Love, Don't Turn Away",0.412,0.0614,1,-17.544,1,0.0598,0.939,0,0.354,0.197,140.74,200640,5
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,5EgS6YYUP36oa2vkz05Rpc,Poker Polka,0.798,0.414,10,-12.482,1,0.512,0.864,0,0.166,0.601,106.992,152627,4
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,13vXMaWwaWK5uXrsRCg27l,The Hungry Men,0.532,0.237,2,-12.482,1,0.0458,0.883,0,0.225,0.513,85.455,134360,4
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,7jaUGvUKczNAgUmK3FfSAt,The Rain Song,0.582,0.46,8,-8.971,0,0.158,0.827,0,0.417,0.651,132.229,267627,4
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,1u2tKlBOoxXMZ9dzxSHbTm,You're Not Fooling Me,0.557,0.25,0,-12.567,1,0.278,0.888,0,0.088,0.353,81.484,259693,4
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,5chfZ2senkQptDL3cuY17e,Cinderella,0.415,0.0544,3,-18.099,1,0.211,0.969,0.00665,0.208,0.413,186.662,29813,4
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,05XJsbOCvjPadtJEDFP6CW,Raunchy,0.547,0.42,9,-7.782,1,0.155,0.8,0,0.116,0.393,116.909,230227,3
6wYIE8H9105v3TfshONSv0,110 in the Shade,110 in the Shade: The 2007 Broadway Revival,3JPKW5s3CDnhgvaNXvu9MW,A Man and a Woman,0.394,0.142,10,-13.82,1,0.0599,0.947,1.44e-06,0.143,0.243,89.283,239267,4
