title,year,venue,music,lyrics,book,notes
110 in the Shade,1963,Broadway,Harvey Schmidt,Tom Jones,N. Richard Nash,"Based on Nash's 1954 play, The Rainmaker."
13,2008,Broadway,Jason Robert Brown,Brown,Dan Elish and Horn,
1492 Up To Date,1893,Broadway,Carl Pflueger,R. A. Barnet,Barnet,A burlesque show.
1600 Pennsylvania Avenue,1976,Broadway,Leonard Bernstein,Alan Jay Lerner,Lerner,Ran for only 7 performances.
1776,1969,Broadway,Sherman Edwards,Edwards,Peter Stone,
1789: Les Amants de la Bastille,2012,French musical,"Rod Janois, Jean-Pierre Pilot, Olivier Schultheis, William Rousseau and Dove Attia",Attia and Vincent Baguian,Attia and François Chouquet,Based on the French Revolution
The 25th Annual Putnam County Spelling Bee,2005,Broadway,William Finn,Finn,Rachel Sheinkin,
35MM: A Musical Exhibition,2012,Off-Broadway,Ryan Scott Oliver,Oliver,N/A,
3 Musketiers,2003,Dutch musical,"Ferdi Bolland, Rob Bolland, and Paul Bogaev",Bolland and Bolland,André Breedland,
3hree,2001,Off-Off-Broadway,"Laurence O'Keefe, Neil Dunbar Benjamin, Robert Lindsey Nassif and John Bucchino","O'Keefe, Benjamin, Nassif and Bucchino","O'Keefe, Benjamin, Nassif and Bucchino","Three One-act musical combined, The Mice, The Flight of the Lawnchair Man and Lavender Girl."
42nd Street,1980,Broadway,Harry Warren,Al Dubin,Michael Stewart and Mark Bramble,Based on Bradford Ropes' novel.
"70, Girls, 70",1971,Broadway,John Kander,Fred Ebb,Ebb and Norman L. Martin,Based on the 1958 play Breath of Spring by Peter Coke.
8 femmes,2002,Musical film,Various artists,Various artists,François Ozon and Marina de Van,Bases on the play by Robert Thomas.
9 to 5,2009,Broadway,Dolly Parton,Dolly Parton,Patricia Resnick,Based on the 1980 film.
A... My Name Is Alice and,1984,Off-Broadway revue,"David Zippel, Winnie Holzman and Lucy Simon","Zippel, Holzman and Simon",Joan Micklin Silver and Julianne Boyd,
A Christmas Story: The Musical,2012,Broadway,Benj Pasek and Justin Paul,Pasek and Paul,Joseph Robinette,
A Dangerous Maid,1923,Broadway,George Gershwin,Ira Gershwin,Charles W. Bell,"Based on Bell's 1918 play, A Dislocated Honeymoon."
A Family Affair,1962,Broadway,John Kander,James Goldman and William Goldman,Goldman and Goldman,
A Hatful of Snow,1994,Holiday Musical,Matthew Breindel,Breindel,Breindel,
A Little Princess,2003,Off-Broadway,Andrew Lippa,Brian Crawley,Brian Crawley,
A Minister's Wife,2011,Off-Broadway,Joshua Schmidt,Jan Tranen,Austin Pendleton,Based on George Bernard Shaw's Candida.
A New Brain,1998,Off-Broadway,William Finn,Finn,Finn and James Lapine,
A Tale of Two Cities,2008,Broadway,Jill Santoriello,Santoriello,Santoriello,
A Very Potter Musical,2009,Off-Off-Broadway,A.J. Holmes and Darren Criss,Holmes and Criss,"Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.
A Very Potter Sequel,2010,Off-Off-Broadway,Darren Criss,Criss,"Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.
A Very Potter Senior Year,2012,Off-Off-Broadway,"A.J. Holmes, Clark Baxtresser, Pierce Siebers and Darren Criss","Holmes, Baxtresser, Siebers and Criss","Matt Lang, Nick Lang and Brian Holden",Performed by StarKid Productions.
Aaron Slick from Punkin Crick,1952,Musical Film,Ray Evans and Jay Livingston,Evans and Livingston,Claude Binyon,
Abbacadabra,1983,French musical,Benny Andersson and Björn Ulvaeus,Alain Boublil and Daniel Boublil,N/A,
About Face,1952,Musical film,Peter de Rose et al,de Rose et al,Peter Milne,
About Town,1906,Broadway,Melville Ellis and Raymond Hubbell,Joseph Herbert,Herbert,
Absolute Beginners,1986,Musical film,Gil Evans and various artists,Evans and various artists,Richard Burridge,
Abyssinia,1906,Broadway,Ted Kociolek,James Racheff,Racheff and Kociolek,"Based on the novel Marked by Fire, by Joyce Carol Thomas."
Ace,2006,Off-Off-Broadway,Richard Oberacker,Robert Taylor and Oberacker,Taylor and Oberacker,
Ace of Clubs,1950,West End,Noël Coward,Coward,Coward,
Acorn Antiques: The Musical!,2005,West End,Victoria Wood,Wood,Wood,
Across the Universe,2007,Musical film,The Beatles,The Beatles,Julie Taymor,
The Act,1977,Broadway,John Kander,Fred Ebb,George Furth,
The Addams Family,2010,Broadway,Andrew Lippa,Lippa,Marshall Brickman and Rick Elice,
Adding Machine,2008,Off-Broadway,Joshua Schmidt,Jason Loewith and Schmidt,Loewith and Schmidt,
Adèle,1913,Broadway,Jean Briquet and Adolf Phillipp,Paul Hervé,Hervé,English adaptation by Philipp and Edward A. Paulton.
Adonis,1884,Broadway,Edward E. Rice and John Eller,Rice and Eller,William Gill,
"The Adventures of Priscilla, Queen of the Desert",1994,Musical film,Guy Cross and various artists,Various artists,Stephan Elliott,
The Adventures of Tom Sawyer,2001,Broadway,Don Schlitz,Schlitz,Ken Ludwig,
Affair in Trinidad,1952,Musical film,Lester Lee and Bob Russell et al.,Lee and Russell et al.,Berne Giler and James Gunn,
The Affairs of Dobie Gillis,1953,Musical film,Various Artists,Various Artists,Max Shulman,
Afgar,1919,West End,Charles Cuvillier,Douglas Furber,Fred Thompson and Worton David,
Africana,1934,Broadway,Donald Heyward,Heyward,Heyward,
After the Ball,1953,West End,Noël Coward,Coward,Coward,"Based on Oscar Wilde's play, Lady Windermere's Fan."
Aida,2000,Broadway,Elton John,Tim Rice,"Linda Woolverton, Robert Falls and David Henry Hwang",
Ain't Misbehavin',1978,Broadway revue,Various Artists,Various Artists,"Murray Horwitz and Richard Maltby, Jr.",
Ain't Supposed to Die a Natural Death,1971,Broadway,Melvin Van Peebles,Van Peebles,Van Peebles,
Aladdin,1958,TV musical,Cole Porter,Porter,S.J. Perelman,
Aladdin,2014,Broadway,Alan Menken,"Howard Ashman, Chad Beguelin and Tim Rice",Beguelin,"Based on the film of the same name. Notable Songs: ""A Whole New World"" and ""Friend Like Me""."
Ali Baba fr:Les 1001 Vies d'Ali Baba,2000,French musical,Fabrice Aboulker and Alain Lanty,Thibaut Chatel and Frédéric Doll,,
Alice in Wonderland,1951,Animated film,Bob Hilliard and Sammy Fain,Hilliard and Fain,Winston Hibler and Ted Sears,
Alice in Wonderland: An X-Rated Musical Comedy,1976,Adult film,Jack Stern,Jack Stern,Bill Osco,Based on Lewis Carroll's book Alice's Adventures in Wonderland.
"Alice in Wonderland, a Musical Adventure in One Act",1997,Musical/operetta,Michael Sirotta,Michael Sirotta,Heather M. Dominick and Michael Sirotta,Based on Lewis Carroll's book Alice's Adventures in Wonderland.
Alice's Adventures in Wonderland,1972,Musical film,John Barry,Barry,William Sterling,
Alice with Kisses,1964,Off-Broadway,,,,
Alive and Kicking,1950,Broadway revue,Hoagy Carmichael et al.,Paul Francis Webster et al.,I.A.L. Diamond,
All 4 One,2001,Off-West End,John Trent Wallace,Kevin John Heuston,Heuston,
All Aboard,1913,Broadway,E. Ray Goetz and Malvin M. Franklin,Goetz,Mark Swan,
All American,1962,Broadway,Charles Strouse,Lee Adams,Mel Brooks,
All Hands on Deck,1961,Musical film,Cyril Mockridge,Donald R. Morris,Jay Sommers,
All in Fun,1940,Broadway revue,Baldwin Bergerson and John Rox,,,
All in Love,1961,Off-Broadway,Jacques Urbont,Bruce Geller,Geller,
All Shook Up,2005,Broadway Jukebox musical,Elvis Presley,Various artists,Joe DiPietro,
All That Jazz,1979,Musical film,Ralph Burns,Various artists,Robert Alan Aurthur and Bob Fosse,
All the Fun of the Fair,2008,West End,Ian Wherry,,Jon Conway,David Essex Jukebox musical
All the King's Horses,1935,Musical film,Edward Horan,Horan,"Edmund H. North, Frank Tuttle and Frederick Stephani","All the King's Horses by Lawrence Clark, Max Giersberg, Frederik Herendeen and Edward Horan"
Allegro,1947,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II,
An Alligator Named Daisy,1955,Musical film,"Stanley Black and Sam Coslow, et al.",,Jack Davies,
"Alma, Where Do You Live?",1910,Broadway,Jean Briquet,George V. Hobart,Hobart,
Alone at Last,1914,Broadway,Franz Lehár et al.,Matthew Woodward et al.,,
Along Fifth Avenue,1949,Broadway revue,Gordon Jenkins et al.,Tom Adair et al.,,
Altar Boyz,2005,Off-Broadway,Gary Adler and Michael Patrick Walker,Adler and Walker,Kevin Del Aguila,
Ambassador,1972,Broadway,Don Gohman,Hal Hackady,Don Ettlinger and Anna Marie Barlow,
Amen Corner,1983,Broadway,Garry Sherman,Peter Udell,Philip Rose and Peter Udell,
America Kicks Up Its Heels,1983,Off-Broadway,William Finn,Finn,Charles Rubin,
The American Astronaut,2001,Musical film,Billy Nayer Show,Nayer Show,Cory McAbee,
American Idiot,2010,Broadway,Green Day,Billie Joe Armstrong,Armstrong and Michael Mayer,
American Pop,1981,Animated film,Lee Holdridge,Various artists,Ronni Kern,Paralleling the history of American popular music.
An American in Paris,1951,Musical film,George Gershwin,Ira Gershwin,Alan Jay Lerner,
America's Sweetheart,1931,Broadway,Richard Rodgers,Lorenz Hart,Herbert Fields,
The Amorous Flea,1964,Off-Broadway,Bruce Montgomery,Montgomery,Jerry Devine,
Amour,2002,Broadway,Michel Legrand,Didier Van Cauwelaert,Jeremy Sams,
Amphitryon,1935,Musical film,Franz Doelle,C. Amberg and Bruno Balz,Reinhold Schünzel,"Based on the stage play Amphytrion by Molière, Titus Maccius Plautus and Heinrich von Kleist"
An Arabian Girl and 40 Thieves,1899,Broadway,"W.H. Batchelor, John J. Braham, Jessie Williams and Meyer Lutz",J. Cheever Goodwin,,
Anastasia,1997,Animated film,Stephen Flaherty,Lynn Ahrens,"Susan Gauthier, Bruce Graham, Bob Tzudiker, Noni White and Eric Tuchman",
Anchors Aweigh,1945,Musical film,Georgie Stoll,Various artists,Natalie Marcin,
And the Angels Sing,1944,Musical film,Victor Young,Various Artists,"Claude Binyon, Melvin Frank and Norman Panama",
And the World Goes 'Round,1991,Off-Broadway revue,John Kander,Fred Ebb,N/A,
