album_title,album_url,album_type
A Beautiful Soul,https://www.stlyrics.com/a/abeautifulsoul.htm,movie
A Bigger Splash,https://www.stlyrics.com/a/abiggersplash.htm,movie
A Charlie Brown Christmas,https://www.stlyrics.com/a/acharliebrownchristmas.htm,cartoon
A Chorus Line,https://www.stlyrics.com/a/achorusline.htm,musical
A Christmas Carol,https://www.stlyrics.com/a/achristmascarol.htm,movie
A Cinderella Story: If the Shoe Fits,https://www.stlyrics.com/c/cinderellastoryiftheshoefits.htm,New Soundtrack
A Cinderella Story: Once Upon A Song,https://www.stlyrics.com/a/acinderellastoryonceuponasong.htm,tv
A Few Best Men,https://www.stlyrics.com/a/afewbestmen.htm,movie
A Funny Thing Happened on the Way to the Forum,https://www.stlyrics.com/a/afunnythinghappenedonthewaytotheforum.htm,musical
A Good Year,https://www.stlyrics.com/a/agoodyear.htm,movie
A Knight's Tale,https://www.stlyrics.com/a/aknightstale.htm,movie
A Life Less Ordinary,https://www.stlyrics.com/a/alifelessordinary.htm,movie
A Little Help,https://www.stlyrics.com/a/alittlehelp.htm,movie
A Little Night Music,https://www.stlyrics.com/a/alittlenightmusic.htm,musical
A Mighty Heart,https://www.stlyrics.com/a/amightyheart.htm,movie
A Mighty Wind,https://www.stlyrics.com/a/amightywind.htm,movie
A Perfect Day,https://www.stlyrics.com/p/perfectday.htm,movie
A Smile Like Yours,https://www.stlyrics.com/a/asmilelikeyours.htm,movie
A Very Harold & Kumar 3d Christmas,https://www.stlyrics.com/a/averyharold%26kumar3dchristmas.htm,movie
A Very Potter,https://www.stlyrics.com/a/averypotter.htm,musical
A View From the Top,https://www.stlyrics.com/a/aviewfromthetop.htm,movie
A Walk in The Woods,https://www.stlyrics.com/w/walkinthewoods.htm,movie
A Walk to Remember,https://www.stlyrics.com/a/awalktoremember.htm,movie
A Year Without Rain,https://www.stlyrics.com/a/ayearwithoutrain.htm,tv
A.C.O.D.,https://www.stlyrics.com/a/acod.htm,movie
A.N.T. Farm,https://www.stlyrics.com/a/antfarm.htm,tv
Abduction,https://www.stlyrics.com/a/abduction.htm,movie
About A Boy,https://www.stlyrics.com/a/aboutaboy.htm,movie
About Last Night,https://www.stlyrics.com/a/aboutlastnight.htm,movie
About Time,https://www.stlyrics.com/a/abouttime.htm,movie
Above the Rim,https://www.stlyrics.com/a/abovetherim.htm,movie
Absolutely Fabulous,https://www.stlyrics.com/a/absolutelyfabulous.htm,movie
Absolutely Irish,https://www.stlyrics.com/a/absolutelyirish.htm,tv
Accepted,https://www.stlyrics.com/a/accepted.htm,movie
Across the Universe,https://www.stlyrics.com/a/acrosstheuniverse.htm,musical
Act of Valor,https://www.stlyrics.com/a/actofvalor.htm,movie
Adam Sandler's Eight Crazy Nights,https://www.stlyrics.com/a/adamsandlerseightcrazynights.htm,movie
"Addams Family, The",https://www.stlyrics.com/a/addamsfamilythe.htm,musical
Addicted,https://www.stlyrics.com/a/addicted.htm,movie
"Adjustment Bureau, The",https://www.stlyrics.com/a/adjustmentbureauthe.htm,movie
Adult Beginners,https://www.stlyrics.com/a/adultbeginners.htm,movie
Adventureland,https://www.stlyrics.com/a/adventureland.htm,movie
Afro Samurai,https://www.stlyrics.com/a/afrosamurai.htm,tv
Afro Samurai Resurrection,https://www.stlyrics.com/a/afrosamurairesurrection.htm,tv
Agent Cody Banks,https://www.stlyrics.com/a/agentcodybanks.htm,movie
"Ah, Men! The Boys of Broadway",https://www.stlyrics.com/a/ahmentheboysofbroadway.htm,musical
Aida,https://www.stlyrics.com/a/aida.htm,musical
Aida (complete libretto),https://www.stlyrics.com/a/aidacompletelibretto.htm,musical
Ain't Misbehavin',https://www.stlyrics.com/a/aintmisbehavin.htm,musical
Akeelah & The Bee,https://www.stlyrics.com/a/akeelah%26thebee.htm,movie
Aladdin,https://www.stlyrics.com/a/aladdin.htm,cartoon
Aladdin II: The Return of Jafar,https://www.stlyrics.com/a/aladdiniithereturnofjafar.htm,cartoon
Aladdin III: The King of Thieves,https://www.stlyrics.com/a/aladdiniiithekingofthieves.htm,cartoon
Alfie,https://www.stlyrics.com/a/alfie.htm,movie
Ali,https://www.stlyrics.com/a/ali.htm,movie
Ali G Indahouse,https://www.stlyrics.com/a/aligindahouse.htm,movie
Alias - Season 2,https://www.stlyrics.com/a/alias-season2.htm,tv
Alice in Wonderland,https://www.stlyrics.com/a/aliceinwonderland.htm,cartoon
Aliens In The Attic,https://www.stlyrics.com/a/aliensintheattic.htm,movie
All About Steve,https://www.stlyrics.com/a/allaboutsteve.htm,movie
All About the Benjamins,https://www.stlyrics.com/a/allaboutthebenjamins.htm,movie
All Cheerleaders Die,https://www.stlyrics.com/a/allcheerleadersdie.htm,movie
All God's Creatures,https://www.stlyrics.com/a/allgodscreatures.htm,movie
All Shook Up,https://www.stlyrics.com/a/allshookup.htm,musical
All That Jazz,https://www.stlyrics.com/a/allthatjazz.htm,musical
Ally McBeal: A Very Ally Christmas,https://www.stlyrics.com/a/allymcbealaveryallychristmas.htm,tv
Ally McBeal: For Once in My Life,https://www.stlyrics.com/a/allymcbealforonceinmylife.htm,tv
Ally McBeal: More Songs,https://www.stlyrics.com/a/allymcbealmoresongs.htm,tv
Almost Alice,https://www.stlyrics.com/a/almostalice.htm,movie
Almost Famous,https://www.stlyrics.com/a/almostfamous.htm,movie
Aloha,https://www.stlyrics.com/a/aloha.htm,movie
Along Came Polly,https://www.stlyrics.com/a/alongcamepolly.htm,movie
Alpha Dog,https://www.stlyrics.com/a/alphadog.htm,movie
Altar Boyz,https://www.stlyrics.com/a/altarboyz.htm,musical
Alvin & The Chipmunks: Chipwrecked,https://www.stlyrics.com/a/alvin%26thechipmunkschipwrecked.htm,cartoon
Alvin and the Chipmunks,https://www.stlyrics.com/a/alvinandthechipmunks.htm,cartoon
Alvin and the Chipmunks: The Road Chip,https://www.stlyrics.com/a/alvinandthechipmunkstheroadchip.htm,movie
Alvin And The Chipmunks: The Squeakquel,https://www.stlyrics.com/a/alvinandthechipmunksthesqueakquel.htm,cartoon
Amazing Grace,https://www.stlyrics.com/a/amazinggrace.htm,movie
"Amazing Spider Man, The",https://www.stlyrics.com/a/amazingspidermanthe.htm,movie
"Amazing Spider-Man 2, The",https://www.stlyrics.com/a/amazingspider-man2the.htm,movie
Amelie,https://www.stlyrics.com/a/amelie.htm,movie
America's Heart & Soul,https://www.stlyrics.com/a/americasheart%26soul.htm,tv
America's Sweethearts,https://www.stlyrics.com/a/americassweethearts.htm,movie
American Beauty,https://www.stlyrics.com/a/americanbeauty.htm,movie
