spotify_id,wikipedia_title,sp_track,track_best_score,st_title,st_track,url
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Prelude,0.222222222222,Anyone Can Whistle,Entr'acte,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Me and My Town,1.0,Anyone Can Whistle,Me and My Town,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Miracle Song,1.0,Anyone Can Whistle,Miracle Song,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,There Won't Be Trumpets,1.0,Anyone Can Whistle,There Won't Be Trumpets,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Simple,0.5,Anyone Can Whistle,Finale,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Come Play Wiz Me,1.0,Anyone Can Whistle,Come Play Wiz Me,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Anyone Can Whistle,0.947368421053,Anyone Can Whistle, Anyone Can Whistle,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,A Parade in Town,1.0,Anyone Can Whistle,A Parade in Town,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Everybody Says Don't,0.952380952381,Anyone Can Whistle, Everybody Says Don't,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,I've Got You to Lean On,1.0,Anyone Can Whistle,I've Got You to Lean On,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,See What It Gets You,0.952380952381,Anyone Can Whistle, See What It Gets You,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,The Cookie Chase,1.0,Anyone Can Whistle,The Cookie Chase,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,With So Little to Be Sure Of,1.0,Anyone Can Whistle,With So Little to Be Sure Of,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,I'm Like The Bluebird - Demo,0.285714285714,Anyone Can Whistle,Simple (The Interrogation),to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,"The Lame, The Halt And The Blind - Demo",0.25641025641,Anyone Can Whistle,There Won't Be Trumpets,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Come Play Wiz Me - Demo,0.695652173913,Anyone Can Whistle,Come Play Wiz Me,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,Anyone Can Whistle - Demo,0.68,Anyone Can Whistle, Anyone Can Whistle,to_do
1wgIxOQp2hn7pb0dqE1D9Z,Anyone Can Whistle,With So Little to Be Sure Of - Demo,0.8,Anyone Can Whistle,With So Little to Be Sure Of,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,Overture,0.2,South Pacific,A Wonderful Guy,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,Dites-Moi,1.0,South Pacific,Dites-Moi,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,A Cockeyed Optimist,1.0,South Pacific,A Cockeyed Optimist,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,Some Enchanted Evening,1.0,South Pacific,Some Enchanted Evening,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,Bloody Mary,1.0,South Pacific,Bloody Mary,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,There Is Nothin' Like a Dame,0.928571428571,South Pacific,There Is Nothin Like A Dame,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,Bali H'ai,0.888888888889,South Pacific,Bali Hai,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,I'm Gonna Wash That Man Right Outa My Hair,0.952380952381,South Pacific,Im Gonna Wash That Man Right Outta My Hair,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,A Wonderful Guy,1.0,South Pacific,A Wonderful Guy,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,Younger Than Springtime,1.0,South Pacific,Younger Than Springtime,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,Happy Talk,1.0,South Pacific,Happy Talk,to_do
28frvdzV4LfqR99VJbIayT,South Pacific,This Nearly T'was Mine,0.863636363636,South Pacific,This Nearly Was Mine,to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,Big Blonde and Beautiful,0.92,Hairspray,"Big, Blonde And Beautiful",to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,Cooties,1.0,Hairspray,Cooties,to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,Good Morning Baltimore,1.0,Hairspray,Good Morning Baltimore,to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,I Can Hear the Bells,0.95,Hairspray,I Can Hear The Bells,to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,I Know Where I've Been,1.0,Hairspray,I Know Where I've Been,to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,Mama I'm a Big Girl Now,0.916666666667,Hairspray,"Mama, I'm A Big Girl Now",to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,Welcome to the Sixties,0.636363636364,Hairspray,Welcome To The 60's,to_do
2HfIORF1sVjmkZwmocWnjC,Hairspray,You Can't Stop the Beat,0.95652173913,Hairspray,You Can't Stop The Beat,to_do
739Q29Hs1QBkCxHjItOtrX,Reefer Madness,Reefer Madness,0.933333333333,Reefer Madness,Reefer Madness!,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Overture - Original,0.421052631579,Where's Charley,Overture,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Where's Charley? - Original,0.555555555556,Where's Charley,Where's Charley,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Better Get Out Of Here - Original,0.636363636364,Where's Charley,Better Get Out of Here,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,The New Ashmolean Marching Society And Student Conservatory Band - Original,0.84,Where's Charley,The New Ashmolean Marching Society and Student Conservatory Band,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,"My Darling, My Darling - Original",0.818181818182,Where's Charley,"My Darling, My Darling / Finale",to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Serenade With Asides - Original,0.612903225806,Where's Charley,Serenade with Asides,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Make A Miracle - Original,0.56,Where's Charley,Make A Miracle,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Lovlier Than Ever - Original,0.571428571429,Where's Charley,Lovelier Than Ever,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,The Woman In His Room - Original,0.65625,Where's Charley,The Woman In His Room,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Pernambuco - Original,0.47619047619,Where's Charley,Pernambuco,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,Once In Love With Amy - Original,0.59375,Where's Charley,Once in Love with Amy,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,The Gossips - Original,0.5,Where's Charley,The Gossips,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,At The Red Rose Cotillion - Original,0.666666666667,Where's Charley,At the Red Rose Cotillion,to_do
0JJPyA6LG7Vb4Ahq2NbhvA,Where's Charley?,"My Darling, My Darling And Finale - Original",0.681818181818,Where's Charley,"My Darling, My Darling / Finale",to_do
3CUuvyh481P19H3bncCVro,Man of La Mancha,"Man of La Mancha (I, Don Quixote) [In the Style of Man of La Mancha [Broadway Version] ] [Karaoke Version]",0.301886792453,Man of La Mancha (Don Quixote),"Man of la Mancha (I, Don Quixote)",to_do
3CUuvyh481P19H3bncCVro,Man of La Mancha,"Man of La Mancha (I, Don Quixote)",0.969696969697,Man of La Mancha (Don Quixote),"Man of la Mancha (I, Don Quixote)",to_do
5UA66kIs3wcTlPbBGJEzJs,Grease,Grease,1.0,Grease,Grease,to_do
0e3N87v3Zte89fqsoWhBuW,"Bright Lights, Big City",Bright Lights Big City,0.95652173913,"Bright Lights, Big City","Bright Lights, Big City",to_do
35ueqZkF1RRX8vz7XmNB9K,American Idiot,American Idiot,1.0,Green Day's American Idiot,American Idiot,to_do
0KjDWEOfgv6wGKodGCTCFy,9 to 5,Nine to five,0.833333333333,9 To 5,Nine To Five,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,I Still Believe,1.0,Miss Saigon,I Still Believe,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,Last Night of the World,0.777777777778,Miss Saigon,The Last Night Of The World,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,Movie in My Mind,0.75,Miss Saigon,The Movie In My Mind,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,Overture Miss Saigon,0.45,Miss Saigon,The Fall Of Saigon,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,Please,1.0,Miss Saigon,Please,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,Room 317,0.25,Miss Saigon,Room Three-Seventeen,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,The Sacred Bird,1.0,Miss Saigon,The Sacred Bird,to_do
0yPtZQgROeOh3Zt7uH7Joa,Miss Saigon,This Money's Yours,0.894736842105,Miss Saigon,This Money Is Yours,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,Prelude; Me And My Town,0.565217391304,Anyone Can Whistle,Me and My Town,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,Miracle Song,1.0,Anyone Can Whistle,Miracle Song,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,There Won't Be Trumpets - Live,0.766666666667,Anyone Can Whistle,There Won't Be Trumpets,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,Simple - Live,0.346153846154,Anyone Can Whistle,Simple (The Interrogation),to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,Come Play Wiz Me - Live,0.695652173913,Anyone Can Whistle,Come Play Wiz Me,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,Anyone Can Whisle - Live,0.625,Anyone Can Whistle, Anyone Can Whistle,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,A Parade In Town - Live,0.652173913043,Anyone Can Whistle,A Parade in Town,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,Everybody Says Don't - Live,0.703703703704,Anyone Can Whistle, Everybody Says Don't,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,I've Got You To Lean On - Live,0.733333333333,Anyone Can Whistle,I've Got You to Lean On,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,See What It Gets You - Live,0.703703703704,Anyone Can Whistle, See What It Gets You,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,Ballet (The Cookie Chase) - Live,0.5,Anyone Can Whistle,The Cookie Chase,to_do
1jpiqQNnpaAWmkGCmkwb3k,Anyone Can Whistle,With So Little To Be Sure Of - Live,0.771428571429,Anyone Can Whistle,With So Little to Be Sure Of,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Overture,1.0,Wonderful Town,Overture,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Christopher Street,1.0,Wonderful Town,Christopher Street,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Ohio,1.0,Wonderful Town,Ohio,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,One Hundred Ways to Lose a Man,0.533333333333,Wonderful Town,One Hundred Easy Ways,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,What a Waste,0.916666666667,Wonderful Town,What A Waste,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,A Little Bit in Love,0.666666666667,Wonderful Town,"Little Bit Of Love, A",to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Pass the Football,0.941176470588,Wonderful Town,Pass The Football,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Conversation Piece,1.0,Wonderful Town,Conversation Piece,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Quiet Girl,0.769230769231,Wonderful Town,"Quiet Girl, A",to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Conga,0.833333333333,Wonderful Town,Conga!,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,My Darling Eileen,0.941176470588,Wonderful Town,My Darlin' Eileen,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Swing!,1.0,Wonderful Town,Swing!,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Ohio (Reprise),1.0,Wonderful Town,Ohio (Reprise),to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,It's Love,0.285714285714,Wonderful Town,"Little Bit Of Love, A",to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Vortex Ballet,0.333333333333,Wonderful Town,Christopher Street,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,Wrong Note Rag,0.285714285714,Wonderful Town,Conga!,to_do
6ZqW2Rsv7eJymiifqkEbZR,Wonderful Town,It's Love (Reprise),0.578947368421,Wonderful Town,Ohio (Reprise),to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,Runyonland Music / Fugue For Tinhorns / Follow The Fold,0.309090909091,Guys And Dolls,Fugue for Tinhorns,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,The Oldest Established,1.0,Guys And Dolls,The Oldest Established,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,I'll Know,1.0,Guys And Dolls,I'll Know,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,A Bushel And A Peck,0.894736842105,Guys And Dolls,A Bushel and a Peck,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,Adelaide's Lament,1.0,Guys And Dolls,Adelaide's Lament,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,Guys And Dolls,0.928571428571,Guys And Dolls,Guys and Dolls,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,If I Were A Bell,0.9375,Guys And Dolls,If I Were a Bell,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,My Time Of Day,0.928571428571,Guys And Dolls,My Time of Day,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,I've Never Been In Love Before,0.966666666667,Guys And Dolls,I've Never Been in Love Before,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,Take Back Your Mink,0.633333333333,Guys And Dolls,Entr'acte; Take Back Your Mink,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,More I Cannot Wish You,1.0,Guys And Dolls,More I Cannot Wish You,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,Luck Be A Lady Tonight,0.590909090909,Guys And Dolls,Luck Be a Lady,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,Sue Me,1.0,Guys And Dolls,Sue Me,to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,"Sit Down, You're Rockin' The Boat",0.969696969697,Guys And Dolls,"Sit Down, You're Rockin' the Boat",to_do
477hdmmPI1ACEsAeYXHjvN,Guys and Dolls,Marry The Man Today / Guys And Dolls (Reprise),0.5,Guys And Dolls,Guys and Dolls (Reprise),to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,American Idiot,1.0,Green Day's American Idiot,American Idiot,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Jesus of Suburbia,1.0,Green Day's American Idiot,Jesus of Suburbia,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Holiday,1.0,Green Day's American Idiot,Holiday,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Boulevard of Broken Dreams,0.961538461538,Green Day's American Idiot,Boulevard Of Broken Dreams,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Are We the Waiting,0.944444444444,Green Day's American Idiot,Are We The Waiting,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,St. Jimmy,1.0,Green Day's American Idiot,St. Jimmy,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Give Me Novacaine,1.0,Green Day's American Idiot,Give Me Novacaine,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,She's a Rebel,0.309523809524,Green Day's American Idiot,Last of the american Girls / She's a Rebel,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Extraordinary Girl,1.0,Green Day's American Idiot,Extraordinary Girl,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Letterbomb,1.0,Green Day's American Idiot,Letterbomb,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Wake Me Up When September Ends,1.0,Green Day's American Idiot,Wake Me Up When September Ends,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Homecoming,1.0,Green Day's American Idiot,Homecoming,to_do
05g65eJD7szIfL4e7vO8TR,American Idiot,Whatsername,1.0,Green Day's American Idiot,Whatsername,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,Schadenfreude,1.0,Avenue Q,Schadenfreude,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,The Internet Is For Porn,1.0,Avenue Q,The Internet Is For Porn,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,The More You Ruv Someone,1.0,Avenue Q,The More You Ruv Someone,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,"My Girlfriend, Who Lives In Canada",0.970588235294,Avenue Q,"My Girlfriend, Who Lives in Canada",to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,For Now,1.0,Avenue Q,For Now,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,Eveyone's A Little Bit Racist,0.966666666667,Avenue Q,Everyone's A Little Bit Racist,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,You Can Be As Loud As The Hell You Want,0.923076923077,Avenue Q,You Can Be as Loud as the Hell You Want,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,"There's A Fine, Fine Line",0.96,Avenue Q,"There's a Fine, Fine Line",to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,If You Were Gay,1.0,Avenue Q,If You Were Gay,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,Special,1.0,Avenue Q,Special,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,Purpose,1.0,Avenue Q,Purpose,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,I'm Not Wearing Underwear Today,1.0,Avenue Q,I'm Not Wearing Underwear Today,to_do
0ra5SGm1Pl3MggSlGdcl14,Avenue Q,The Money Song,1.0,Avenue Q,The Money Song,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Overture,0.25,A Funny Thing Happened on the Way to the Forum,Lovely (Reprise),to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Comedy Tonight,1.0,A Funny Thing Happened on the Way to the Forum,Comedy Tonight,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,"Love, I Hear",1.0,A Funny Thing Happened on the Way to the Forum,"Love, I Hear",to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Free,1.0,A Funny Thing Happened on the Way to the Forum,Free,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Lovely,1.0,A Funny Thing Happened on the Way to the Forum,Lovely,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Pretty Little Picture,1.0,A Funny Thing Happened on the Way to the Forum,Pretty Little Picture,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Everybody Ought To Have A Maid,0.933333333333,A Funny Thing Happened on the Way to the Forum,Everybody Ought to Have a Maid,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,I'm Calm,0.8,A Funny Thing Happened on the Way to the Forum,I'm a Calm,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Impossible,1.0,A Funny Thing Happened on the Way to the Forum,Impossible,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Bring Me My Bride,1.0,A Funny Thing Happened on the Way to the Forum,Bring Me My Bride,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,That Dirty Old Man,1.0,A Funny Thing Happened on the Way to the Forum,That Dirty Old Man,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,That'll Show Him,1.0,A Funny Thing Happened on the Way to the Forum,That'll Show Him,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Lovely (Reprise),1.0,A Funny Thing Happened on the Way to the Forum,Lovely (Reprise),to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Funeral Sequence,1.0,A Funny Thing Happened on the Way to the Forum,Funeral Sequence,to_do
1cprCU4EhQVYTxYHFHzKTd,A Funny Thing Happened on the Way to the Forum,Finale,1.0,A Funny Thing Happened on the Way to the Forum,Finale,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,Overture,0.166666666667,Pal Joey,My Funny Valentine,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,You Musn't Kick It Around,0.961538461538,Pal Joey,You Mustn't Kick It Around,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,I Could Write a Book,1.0,Pal Joey,I Could Write a Book,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,That Terrific Rainbow,1.0,Pal Joey,That Terrific Rainbow,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,What Is a Man,0.785714285714,Pal Joey,What is a man?,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,Happy Hunting Horn,0.333333333333,Pal Joey,Great Big Town,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,"Bewitched, Bothered and Bewildered",1.0,Pal Joey,"Bewitched, Bothered and Bewildered",to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,Pal Joey,0.238095238095,Pal Joey,There's A Small Hotel,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,Zip,1.0,Pal Joey,Zip,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,"Plant You Now, Dig You Later",0.25,Pal Joey,What is a man?,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,Den of Iniquity,0.214285714286,Pal Joey,Finale: I could Write A Book,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,Do It the Hard Way,0.277777777778,Pal Joey,What is a man?,to_do
2rYn9CNwP6VuOJB2XWyvqU,Pal Joey,Take Him,1.0,Pal Joey,Take Him,to_do
